"c.1..300...n_samples.."	"unlist.list_of_samples."
262	0.99
263	0.99
264	0.99
265	0.00994236774580812
266	0.00569021550914191
267	0.99
268	0.30517874719035
269	0.99
270	0.99
271	0.99
272	0.99
273	0.99
274	0.99
275	0.99
276	0.99
277	0.60445215233682
278	0.99
279	0.99
280	0.99
281	0.0375910875087184
282	0.99
283	0.99
284	0.99
285	0.99
286	0.360494445439754
287	0.99
288	0.75867407151998
289	0.99
290	0.99
291	0.0491910720368016
292	0.965363834137042
293	0.317450320298099
294	0.00216755626775144
295	0.0206738081858367
296	0.224707876133788
297	0.000559303504328395
298	0.022638052607485
299	0.99
300	0.0487273713178623
301	0.99
302	0.625333719596641
303	0.99
304	0.99
305	0.0697578468244214
306	0.99
307	0.110010281523349
308	0.0107355789449935
309	0.171686651054562
310	0.141563467475775
311	0.138523177738953
312	0.0130033461959532
313	0.339021876536231
314	0.02158247742588
315	0.150968458508492
316	0.99
317	0.99
318	0.338604148792898
319	0.801348017916134
320	0.103751923188746
321	0.209491882174836
322	0.243203625061583
323	0.99
324	0.99
325	0.0500556869072336
326	0.99
327	0.99
328	0.0665477623798838
329	0.954932711216877
330	0.469238846867808
331	0.0351851557670028
332	0.99
333	0.0420506207628513
334	0.119470674005112
335	0.99
336	0.99
337	0.483392847426758
338	0.446155798630092
339	0.149816088568844
340	0.107830925369215
341	0.253059175825583
342	0.99
343	0.208844997926191
344	0.980721046755973
345	0.99
346	0.248235956336511
347	0.99
348	0.727084008791883
349	0.578171125069403
350	0.172935239209589
351	0.0394450131697518
352	0.99
353	0.99
354	0.281455357643958
355	0.99
356	0.99
357	0.412552419333766
358	0.99
359	0.99
360	0.593511721424086
361	0.479691920137242
362	0.99
363	0.99
364	0.99
365	0.99
366	0.99
367	0.99
368	0.99
369	0.99
370	0.99
371	0.99
372	0.99
373	0.424662991823038
374	0.99
375	0.99
376	0.175095260376952
377	0.99
378	0.449638662958693
379	0.99
380	0.99
381	0.0843669687924227
382	0.99
383	0.99
384	0.170641586231812
385	0.728803252298535
386	0.99
387	0.937719977169846
388	0.214361353319059
389	0.149351213707057
390	0.908587652550157
391	0.0772879063829108
392	0.0165330617627699
393	0.0492703221903774
394	0.99
395	0.0526922192554645
396	0.00698073748599452
397	0.99
398	0.99
399	0.0376958353827732
400	0.99
401	0.10464605020758
402	0.53946925086567
403	0.47722738880425
404	0.101847639624769
405	0.0123599833962653
406	0.17283482555846
407	0.295103995921223
408	0.119173429746875
409	0.943173198718801
410	0.0608769638859448
411	0.663499876338705
412	0.0438343121612986
413	0.109508666409391
414	0.57144462230671
415	0.0944312531196054
416	0.0615000512315042
417	0.281223469913426
418	0.344388716471362
419	0.0738435108940595
420	0.750325663803223
421	0.109233367909747
422	0.141787722915715
423	0.0575232787878676
424	0.0594215267045294
425	0.00886037790850062
426	0.726393666160242
427	0.99
428	0.109272831115185
429	0.800832201299238
430	0.99
431	0.705220275470752
432	0.99
433	0.99
434	0.99
435	0.99
436	0.99
437	0.99
438	0.99
439	0.99
440	0.99
441	0.99
442	0.99
443	0.346034132703911
444	0.124804343857842
445	0.289327995896659
446	0.99
447	0.99
448	0.290464576615277
449	0.99
450	0.99
451	0.99
452	0.99
453	0.563685282559226
454	0.00322523387601891
455	0.99
456	0.0176377945636197
457	0.00496340289016901
458	0.0182784215909318
459	0.00676983301609566
460	6.34950077891132e-06
461	0.00745990977531103
462	7.4974621216594e-05
463	4.85569618950223e-08
464	1.60896189387837e-05
465	5.32006216362891e-07
466	1.65282245385769e-12
467	1.97227559296185e-10
468	3.01825911177408e-12
469	1.74562645024648e-16
470	1.37729641187049e-15
471	2.14042345323075e-17
472	1.99776981655471e-12
473	4.75748739138804e-13
474	2.02856384439572e-12
475	1.59309480766449e-11
476	1.6826850541412e-10
477	4.7099719090758e-10
478	2.99988089869557e-06
479	5.83871164772172e-07
480	2.04992807787191e-05
481	2.16160577046599e-05
482	5.77314476936908e-07
483	8.0244855063862e-06
484	1.17373813232274e-07
485	5.75619977431585e-09
486	2.35497564360759e-08
487	1.55917278745295e-05
488	3.22168071825195e-07
489	0.000176029367879876
490	1.69197149516839e-05
491	7.800985448208e-06
492	0.0198124434363688
493	0.00933598058928719
494	0.0125467438671265
495	0.528256354533163
496	0.0465343012153903
497	0.100114587499541
498	0.115809637011693
499	0.113020831332684
500	0.104594366298791
501	0.99
502	0.99
503	0.99
504	0.99
505	0.99
506	0.99
507	0.99
508	0.99
509	0.99
510	0.99
511	0.99
512	0.99
513	0.432352206388323
514	0.99
515	0.99
516	0.99
517	0.99
518	0.99
519	0.99
520	0.99
521	0.99
522	0.99
523	0.99
524	0.99
525	0.99
526	0.99
527	0.99
528	0.00409359425976683
529	0.99
530	0.101168755215366
531	4.17768572464633e-05
532	0.0673507110085943
533	0.249132658482879
534	0.00657026476184166
535	0.0343897818871212
536	0.00172567490274623
537	0.0189627007668488
538	0.99
539	0.143426823201733
540	0.0148194026729213
541	0.140375990275359
542	0.0687368407034305
543	0.00327648801638609
544	0.99
545	0.99
546	0.0700357035314885
547	0.99
548	0.99
549	0.0678027388174225
550	0.99
551	0.99
552	0.99
553	0.99
554	0.99
555	0.99
556	0.99
557	0.212885861473721
558	0.0783025389941662
559	0.538078295923362
560	0.0599934887676034
561	0.023812413097955
562	0.0879197014548093
563	0.139085101769122
564	0.109666346463026
565	0.0373273499832739
566	0.0576162062177911
567	0.0177904507820652
568	0.749602908955302
569	0.855378062435458
570	0.11295094785465
571	0.99
572	0.99
573	0.99
574	0.99
575	0.99
576	0.0491422323665737
577	0.0170192504117478
578	0.0204613332832153
579	0.00878549515356558
580	0.0550877532422074
581	0.0190557690041566
582	0.264153379648189
583	0.41097525622237
584	0.0417824400160492
585	0.99
586	0.401340487385135
587	0.00243355482856523
588	0.140252019551742
589	0.0283549566936825
590	0.0048497995236984
591	0.0891961849368845
592	0.0411351125829576
593	0.0788480380354916
594	0.344240863800828
595	0.99
596	0.0169528503698286
597	0.0525680648224755
598	0.99
599	0.10407946188912
600	0.180236575370262
601	0.131753297803517
602	0.99
603	0.235157841173014
604	0.99
605	0.99
606	0.99
607	0.0278563986300984
608	0.895293664155441
609	0.0106511947636047
610	0.00909470020947272
611	0.99
612	0.0170503844029739
613	0.496150039468975
614	0.99
615	0.99
616	0.99
617	0.99
618	0.99
619	0.689353817229782
620	0.0155749684634024
621	0.99
622	0.523845370229866
623	0.0955190980976634
624	0.469669281491356
625	0.99
626	0.50801215980317
627	0.99
628	0.99
629	0.99
630	0.933223484570589
631	0.99
632	0.948547563378592
633	0.0373135835913919
634	0.99
635	0.661808892722961
636	0.990675549100759
637	0.99
638	0.513409755419786
639	0.934089945872513
640	0.760539754083679
641	0.170960779062809
642	0.130503340578052
643	0.99
644	0.99
645	0.160305682314627
646	0.99
647	0.357503902624871
648	0.99
649	0.638104074520859
650	0.020855157629708
651	0.6922431584601
652	0.242116880794711
653	0.99
654	0.99
655	0.99
656	0.99
657	0.0389032185038221
658	0.99
659	0.99
660	0.00740793616179066
661	0.99
662	0.99
663	0.0412682410541063
664	0.99
665	0.854500069692277
666	0.0244704755587817
667	0.99
668	0.99
669	0.224998681617572
670	0.99
671	0.99
672	0.99
673	0.99
674	0.502444853358784
675	0.99
676	0.99
677	0.994393451670496
678	0.99
679	0.99
680	0.973576667234002
681	0.99
682	0.99
683	0.255155932052434
684	0.99
685	0.99
686	0.859943816180603
687	0.603741739194397
688	0.666550183143063
689	0.99
690	0.0204720507151761
691	0.99
692	0.99
693	0.0246518037958579
694	0.68426670013708
695	0.82999911367693
696	0.223626981256128
697	0.196129717043581
698	0.99
699	0.521403609492495
700	0.99
701	0.99
702	0.99
703	0.99
704	0.99
705	0.708142458239185
706	0.99
707	0.99
708	0.99
709	0.729153883184675
710	0.99
711	0.485165736505091
712	0.902605096089421
713	0.99
714	0.148051943540308
715	0.038989951808089
716	0.99
717	0.771052499970612
718	0.0685161388612415
719	0.99
720	0.0468469177537399
721	0.0429785259283398
722	0.99
723	0.99
724	0.0723915984855486
725	0.99
726	0.326511657696378
727	0.0482345322025921
728	0.583012155137497
729	0.99
730	0.112646370351435
731	0.99
732	0.99
733	0.0870912094708342
734	0.99
735	0.99
736	0.822580619357581
737	0.99
738	0.99
739	0.0160896967069864
740	0.99
741	0.99
742	0.0157254639123562
743	0.99
744	0.99
745	0.00425399723075826
746	0.0170375655043733
747	0.99
748	0.114171638063461
749	0.0353562356696513
750	0.99
751	0.99
752	0.0147045529433202
753	0.99
754	0.00760481922923467
755	0.00245162147744519
756	0.0118037377146511
757	0.00520465267111071
758	1.85496091465211e-05
759	2.10714221418117e-05
760	0.000275605225388545
761	8.94166070238931e-08
762	2.05535035014645e-07
763	3.63335582806177e-06
764	2.75226832762356e-09
765	5.16153760562246e-10
766	1.07602360700485e-09
767	2.22429542180023e-12
768	6.26470918682619e-14
769	2.32064809791174e-15
770	1.46773425741016e-17
771	4.39047250993024e-17
772	1.46115442926228e-12
773	1.4071660344075e-12
774	2.51894368618389e-12
775	1.3549197231525e-12
776	6.89018041149549e-11
777	2.27747329432254e-12
778	1.32392027087113e-07
779	9.46175361768779e-07
780	2.47842203772331e-08
781	1.43486339160404e-06
782	4.19607284728464e-06
783	1.63925371297102e-06
784	3.54942547796435e-11
785	2.5921013971765e-07
786	1.56836140008757e-09
787	8.3469268664599e-08
788	0.000153199569191462
789	1.12648468648677e-06
790	8.23579976333277e-06
791	0.0470422477991436
792	8.71290206100223e-05
793	0.00426066280646053
794	0.0310636644101698
795	0.00112418067020315
796	0.99
797	0.99
798	0.013969234272028
799	0.458922888884488
800	0.73900863644659
801	0.00570111823079154
802	0.99
803	0.797228026523602
804	0.0323785933798567
805	0.99
806	0.99
807	0.185758821347878
808	0.99
809	0.99
810	0.35560513242413
811	0.99
812	0.374506216989127
813	0.379133564251642
814	0.99
815	0.99
816	0.99
817	0.99
818	0.99
819	0.99
820	0.173242732377401
821	0.335847489451429
822	0.99
823	0.849620725696168
824	0.919976088260743
825	0.99
826	0.0444258630762169
827	0.109799898430934
828	0.99
829	0.0330342964128525
830	0.0120939365515462
831	0.00454814975859385
832	0.99
833	0.0537574183439952
834	0.0205165907672803
835	0.000591985849838357
836	0.032494922032189
837	0.01074560583464
838	0.542309984953233
839	0.134002391578661
840	0.280847154050953
841	0.398787869827047
842	0.0148691989800747
843	0.469252132335916
844	0.0642331674333644
845	0.0732140879329591
846	0.99
847	0.0834522548045837
848	0.0846057690523281
849	0.99
850	0.416078802261329
851	0.109045309234139
852	0.99
853	0.99
854	0.99
855	0.99
856	0.99
857	0.989998264185435
858	0.99
859	0.99
860	0.859874431017278
861	0.99
862	0.99
863	0.99
864	0.99
865	0.225979808792279
866	0.99
867	0.0521925686131693
868	0.271404421529193
869	0.99
870	0.0422331337456149
871	0.0796485716823302
872	0.99
873	0.99
874	0.99
875	0.99
876	0.701340849810725
877	0.0591758520448697
878	0.318334594748801
879	0.407359624808194
880	0.184072321500494
881	0.0517916698233356
882	0.0627858039370914
883	0.99
884	0.0456596117969555
885	0.237651189207074
886	0.466309529838846
887	0.344279567652898
888	0.279652954681919
889	0.167547319482322
890	0.270769887518453
891	0.338778664881264
892	0.674429454035187
893	0.78723414644184
894	0.0557403764971752
895	0.519589990768369
896	0.99
897	0.0169309832542574
898	0.99
899	0.217474673186259
900	0.129890290403645
901	0.99
902	0.99
903	0.191310939866972
904	0.99
905	0.99
906	0.99
907	0.99
908	0.99
909	0.489380394480484
910	0.99
911	0.99
912	0.474718353649424
913	0.99
914	0.99
915	0.99
916	0.553290737171112
917	0.480288753296712
918	0.0468722696126343
919	0.99
920	0.254657548727681
921	0.710620702894263
922	0.99
923	0.99
924	0.825977022404424
925	0.99
926	0.792312450961433
927	0.99
928	0.99
929	0.789344820421395
930	0.99
931	0.99
932	0.99
933	0.910602943130444
934	0.99
935	0.99
936	0.99
937	0.267098147789605
938	0.208999101371351
939	0.0320147461707041
940	0.340814612418085
941	0.0617524947438487
942	0.410052408000659
943	0.142525041775386
944	0.0290712682422211
945	0.0711345034556715
946	0.0141052482806403
947	0.0165589630942019
948	0.0125176814356721
949	0.99
950	0.065258131339192
951	0.99
952	0.0429551653395228
953	0.0285967267941493
954	0.99
955	0.050175624551279
956	0.99
957	0.99
958	0.99
959	0.946655993982247
960	0.99
961	0.99
962	0.99
963	0.0959196014568345
964	0.99
965	0.99
966	0.99
967	0.617263244165601
968	0.485531902963595
969	0.99
970	0.99
971	0.99
972	0.99
973	0.99
974	0.99
975	0.99
976	0.99
977	0.99
978	0.99
979	0.99
980	0.99
981	0.99
982	0.99
983	0.99
984	0.99
985	0.168803152613633
986	0.469517023075092
987	0.99
988	0.991333025870832
989	0.99
990	0.99
991	0.99
992	0.99
993	0.99
994	0.99
995	0.99
996	0.99
997	0.99
998	0.99
999	0.376456052880663
1000	0.99
1001	0.245703494944153
1002	0.99
1003	0.99
1004	0.0470343252367034
1005	0.99
1006	0.75014715851718
1007	0.02121696683305
1008	0.99
1009	0.223997255812657
1010	0.0790443950309554
1011	0.99
1012	0.503799864892668
1013	0.260292711707475
1014	0.959521124682164
1015	0.00801990630372882
1016	0.0739986454696601
1017	0.0614612092137661
1018	0.00802036666873139
1019	0.169979981978562
1020	0.0526793486276404
1021	0.308200272465835
1022	0.0219201548254735
1023	0.029631477727257
1024	0.424190214052761
1025	0.0148238600280282
1026	0.0152244177591373
1027	0.0230156786450001
1028	0.0375040865445157
1029	0.647587583248367
1030	0.123097969532697
1031	0.00211330302494323
1032	0.99
1033	0.99
1034	0.0883135282543884
1035	0.99
1036	0.99
1037	0.99
1038	0.99
1039	0.99
1040	0.99
1041	0.99
1042	0.99
1043	0.222255815067739
1044	0.612287456679015
1045	0.99
1046	0.23486745970193
1047	0.843264409111568
1048	0.99
1049	0.422649271093121
1050	0.157203061555529
1051	0.99
1052	0.99
1053	0.0616650686234084
1054	0.99
1055	0.99
1056	0.00470601769716294
1057	0.99
1058	0.99
1059	0.0345451632476175
1060	0.99
1061	0.99
1062	0.752436041012489
1063	0.99
1064	0.99
1065	0.99
1066	0.820016666727647
1067	0.770176970747957
1068	0.99
1069	0.0188008891517727
1070	0.0296815143729268
1071	0.99
1072	0.176255944751999
1073	0.397728639726505
1074	0.144908846181863
1075	0.99
1076	0.99
1077	0.99
1078	0.99
1079	0.99
1080	0.99
1081	0.99
1082	0.99
1083	0.99
1084	0.00604793066409198
1085	0.99
1086	0.0334875255323401
1087	0.00682253428780203
1088	0.99
1089	0.759097793467256
1090	0.99
1091	0.99
1092	0.277150225077822
1093	0.408320770105723
1094	0.21888788888311
1095	0.159801811202774
1096	0.562641966675847
1097	0.99
1098	0.99
1099	0.99
1100	0.594292077894044
1101	0.99
1102	0.99
1103	0.414706697997554
1104	0.99
1105	0.155351732628597
1106	0.99
1107	0.99
1108	0.453305708105757
1109	0.172131897759461
1110	0.19608896804396
1111	0.99
1112	0.086097372329099
1113	0.570383619469749
1114	0.257285807260545
1115	0.228554674953658
1116	0.163890065115
1117	0.399633499329147
1118	0.0463624645107507
1119	0.0357265343329606
1120	0.99
1121	0.218341694728093
1122	0.658794707303289
1123	0.869302772361149
1124	0.467197413292221
1125	0.99
1126	0.648075845791917
1127	0.00995478668217462
1128	0.0817091470382866
1129	0.00315225515517572
1130	0.0965659357574857
1131	0.0877884347777103
1132	0.99
1133	0.0486707333219153
1134	0.00764742876985107
1135	0.000575640532060513
1136	0.000136404185111267
1137	2.84661886685035e-06
1138	8.61792246797575e-05
1139	1.14419439619308e-06
1140	4.69268419212983e-06
1141	3.60367181715583e-07
1142	2.13094479622027e-08
1143	5.49998870855415e-08
1144	5.81934952522847e-06
1145	0.000509234167859074
1146	0.000115473457928342
1147	0.000996444636036661
1148	0.000138144685797464
1149	0.00915391186734457
1150	0.000327690993968325
1151	0.00214242457568251
1152	0.00362343602903605
1153	0.000363825788203967
1154	0.000719151841217045
1155	0.0328107463482137
1156	0.000492483144269705
1157	0.00143809971123018
1158	0.147202731472414
1159	0.00863153281095852
1160	0.0026740160076959
1161	0.242551478843129
1162	0.0136413192855197
1163	0.143560671110762
1164	0.99
1165	0.0235677391973798
1166	0.0391837165061119
1167	0.890430663174569
1168	0.82251652953855
1169	0.99
1170	0.99
1171	0.99
1172	0.99
1173	0.99
1174	0.99
1175	0.99
1176	0.99
1177	0.58106391704488
1178	0.0940404701668801
1179	0.237535329426185
1180	0.99
1181	0.00216762863522399
1182	0.0176509389333189
1183	0.0148668532234477
1184	0.00342066816877032
1185	0.00448396200139758
1186	9.68511967169059e-05
1187	0.00276329380559023
1188	0.00689315973572752
1189	1.17245696152595e-06
1190	4.22533051074749e-06
1191	0.000325519257182563
1192	1.10547184224698e-11
1193	6.12412616883071e-11
1194	1.62167758680644e-10
1195	1.90163837781101e-07
1196	3.1668153491503e-07
1197	4.17042979331546e-06
1198	1.87561763730341e-06
1199	8.1283744323101e-05
1200	0.000224861777323533
1201	0.99
1202	0.99
1203	0.99
1204	0.164821231959973
1205	0.99
1206	0.99
1207	0.99
1208	0.99
1209	0.99
1210	0.99
1211	0.99
1212	0.347576351556929
1213	0.99
1214	0.99
1215	0.743946202222095
1216	0.99
1217	0.219214375077116
1218	0.208581300383494
1219	0.99
1220	0.951322911817423
1221	0.294723603785673
1222	0.99
1223	0.328412838452296
1224	0.0329146449949439
1225	0.99
1226	0.99
1227	0.296352002992336
1228	0.281329400877111
1229	0.99
1230	0.99
1231	0.99
1232	0.99
1233	0.734071255361432
1234	0.99
1235	0.99
1236	0.99
1237	0.669887499799328
1238	0.99
1239	0.102516433988569
1240	0.99
1241	0.974262337204407
1242	0.318583331012425
1243	0.550057978211686
1244	0.99
1245	0.99
1246	0.166548323537628
1247	0.537022732381097
1248	0.107682353074856
1249	0.227451878261318
1250	0.503056775485685
1251	0.99
1252	0.621841256687878
1253	0.99
1254	0.99
1255	0.716666572722842
1256	0.655162575250496
1257	0.99
1258	0.99
1259	0.404099968196808
1260	0.99
1261	0.387818278347787
1262	0.0947294409360352
1263	0.0539160218259003
1264	0.291284104028172
1265	0.624190207751366
1266	0.811238979740728
1267	0.99
1268	0.150160789014138
1269	0.286232975884071
1270	0.99
1271	0.99
1272	0.99
1273	0.143326023524997
1274	0.99
1275	0.99
1276	0.361225398861685
1277	0.99
1278	0.421842438527774
1279	0.914535449937687
1280	0.99
1281	0.99
1282	0.99
1283	0.99
1284	0.99
1285	0.367498298336956
1286	0.0676477898199168
1287	0.032398755701943
1288	0.99
1289	0.0969057684546098
1290	0.068834428910946
1291	0.43263962723269
1292	0.154852805533139
1293	0.53349040234992
1294	0.99
1295	0.99
1296	0.99
1297	0.99
1298	0.99
1299	0.99
1300	0.99
1301	0.99
1302	0.99
1303	0.664896851086588
1304	0.328562060189566
1305	0.99
1306	0.834462961001214
1307	0.049476927961072
1308	0.0896167999413945
1309	0.99
1310	0.705327573976777
1311	0.0567817692488488
1312	0.38892909562174
1313	0.396585803723449
1314	0.145421901592229
1315	0.00548641526267988
1316	0.166382410884569
1317	0.00570701483771181
1318	0.00480470024826074
1319	0.233894124592986
1320	0.00899910139016721
1321	0.187939463197691
1322	0.99
1323	0.0244761909452221
1324	0.99
1325	0.139168575124672
1326	0.0417437181762569
1327	0.347820004188752
1328	0.109093146049367
1329	0.0621884041536135
1330	0.432263164010393
1331	0.0426707719810829
1332	0.919688488076193
1333	0.99
1334	0.99
1335	0.863532406125131
1336	0.338645315547739
1337	0.99
1338	0.99
1339	0.157421207423995
1340	0.162693304922956
1341	0.99
1342	0.99
1343	0.99
1344	0.122543287761601
1345	0.99
1346	0.99
1347	0.99
1348	0.99
1349	0.99
1350	0.0351253593637175
1351	0.190818120768926
1352	0.49488268561952
1353	0.0474306543249302
1354	0.99
1355	0.0225378414267024
1356	0.014874292852812
1357	0.99
1358	0.255546629276203
1359	0.00296319670930836
1360	0.99
1361	0.107329825989353
1362	0.0649030460442729
1363	0.99
1364	0.99
1365	0.389736866868004
1366	0.99
1367	0.99
1368	0.612831697891149
1369	0.99
1370	0.48856894496627
1371	0.99
1372	0.77441411737506
1373	0.420098949854015
1374	0.99
1375	0.99
1376	0.99
1377	0.99
1378	0.99
1379	0.99
1380	0.99
1381	0.99
1382	0.286195696178952
1383	0.271517973485485
1384	0.819039335813187
1385	0.317799719071467
1386	0.0282323121043524
1387	0.234651249526564
1388	0.99
1389	0.0727737843114105
1390	0.99
1391	0.99
1392	0.124784677336544
1393	0.99
1394	0.99
1395	0.385088563747064
1396	0.99
1397	0.99
1398	0.725867962810211
1399	0.99
1400	0.99
1401	0.119518507394447
1402	0.0284786142923198
1403	0.99
1404	0.99
1405	0.14689332391676
1406	0.99
1407	0.0885128881632244
1408	0.512150381437838
1409	0.365250052618864
1410	0.213758318579381
1411	0.00224212510250733
1412	0.99
1413	0.99
1414	0.356846841795201
1415	0.99
1416	0.99
1417	0.99
1418	0.403461220461229
1419	0.99
1420	0.99
1421	0.629414529117166
1422	0.99
1423	0.99
1424	0.594311706668344
1425	0.99
1426	0.99
1427	0.0452118637195547
1428	0.0963908568778174
1429	0.250201754625685
1430	0.00398276267082814
1431	0.518034293366819
1432	0.0234294385231384
1433	0.154054207854475
1434	0.0936207975494141
1435	8.84515249828835e-05
1436	3.66073245442763e-05
1437	0.000248404955624281
1438	3.02674542612368e-05
1439	2.93218999556103e-05
1440	3.95338331585391e-05
1441	3.64465728763963e-08
1442	7.93578333953908e-08
1443	2.80409025868141e-08
1444	6.07808295342013e-05
1445	2.973499896341e-05
1446	3.15056505062464e-06
1447	0.000333585745118957
1448	0.000151764844795516
1449	3.16307202484323e-06
1450	0.00560795970252116
1451	0.000232776915706838
1452	0.00977439932928262
1453	0.00520622430775447
1454	0.000883240077707103
1455	0.000853601483511636
1456	0.0141864574189771
1457	0.00885048095195936
1458	0.163564984797244
1459	0.0238976335367578
1460	0.00569606878168445
1461	0.242171095983412
1462	0.99
1463	0.286649815298347
1464	0.199193838490557
1465	0.99
1466	0.477761458084052
1467	0.0400754084947708
1468	0.99
1469	0.99
1470	0.99
1471	0.99
1472	0.99
1473	0.510590704217285
1474	0.341110442176873
1475	0.708354756210988
1476	0.0906449632731607
1477	0.342316559094003
1478	0.0263439462483811
1479	0.0112798887207436
1480	0.206397643346811
1481	0.0553620324946488
1482	0.00424593693323092
1483	0.00206136293070168
1484	0.00389049024234869
1485	0.000193264710136392
1486	0.00221146410282103
1487	0.000232273509738195
1488	5.58431500816503e-05
1489	0.000699372031924071
1490	4.05180562679237e-05
1491	1.33271296337132e-06
1492	3.62477948098814e-10
1493	7.79372623194555e-11
1494	1.34873265266096e-11
1495	8.70907373509496e-07
1496	8.17848367415804e-06
1497	1.07579916685494e-07
1498	0.000120791126755143
1499	0.000104896028918765
1500	3.11576080817826e-06
1501	0.99
1502	0.99
1503	0.33011573485499
1504	0.99
1505	0.0669832296908353
1506	0.115707296378244
1507	0.99
1508	0.99
1509	0.0377884885991551
1510	0.0329458772420924
1511	0.99
1512	0.0626387157034574
1513	0.569354526478851
1514	0.99
1515	0.034166601658397
1516	0.99
1517	0.99
1518	0.00940930576139459
1519	0.99
1520	0.99
1521	0.233742366325429
1522	0.99
1523	0.99
1524	0.0259498375998697
